,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,dominant_topic
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.06,0.06,0.06,0.59,0.06,0.06,0.06,0.06,3
1,0.06,0.06,0.06,0.55,0.06,0.06,0.06,0.06,3
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.36,7
1,0.35,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0
1,0.08,0.08,0.08,0.08,0.08,0.08,0.47,0.08,6
1,0.11,0.26,0.11,0.11,0.11,0.11,0.11,0.11,1
1,0.11,0.11,0.26,0.11,0.11,0.11,0.11,0.11,2
1,0.11,0.26,0.11,0.11,0.11,0.11,0.11,0.11,1
1,0.11,0.11,0.26,0.11,0.11,0.11,0.11,0.11,2
1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.26,7
1,0.11,0.11,0.11,0.11,0.11,0.26,0.11,0.11,5
1,0.11,0.11,0.11,0.11,0.11,0.26,0.11,0.11,5
1,0.11,0.11,0.11,0.11,0.11,0.11,0.26,0.11,6
1,0.11,0.26,0.11,0.11,0.11,0.11,0.11,0.11,1
1,0.11,0.11,0.11,0.11,0.11,0.11,0.25,0.11,6
1,0.11,0.25,0.11,0.11,0.11,0.11,0.11,0.11,1
1,0.11,0.11,0.11,0.11,0.11,0.25,0.11,0.11,5
1,0.05,0.05,0.05,0.64,0.05,0.05,0.05,0.05,3
1,0.11,0.11,0.11,0.11,0.11,0.2,0.11,0.11,5
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.64,7
1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.64,7
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
1,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0
