X,Y,Topic
7.989417,-3.1086318,8
0.13914695,5.8483753,6
19.318804,10.616339,3
-2.5935016,17.16934,1
0.07360793,4.638344,6
-11.702721,16.226812,4
-13.149358,12.102163,1
20.852472,2.5500376,7
14.617833,-18.319649,7
-20.047047,2.1462178,4
-18.852983,-3.1133373,7
-2.1340194,10.806238,8
-0.7593823,-13.680069,5
7.217067,17.255781,0
0.18591736,0.45328805,6
-17.647171,8.650275,1
14.9408,-11.835907,7
11.530508,17.516819,1
-18.6474,-6.904253,4
-15.4380455,0.7121254,0
-12.009348,8.041133,3
-6.965665,17.231285,4
-8.71442,-5.9361978,4
0.8809146,-2.9136033,8
-5.5960026,-13.016183,0
-17.068346,-9.810062,6
17.096256,5.690844,3
-21.080307,9.111157,9
13.807355,-19.075106,3
-11.815811,13.150291,1
2.1181035,-20.319796,5
10.042365,-15.9933,8
2.356154,-0.62549484,8
17.87136,-9.787485,7
-13.858887,-0.11625631,8
1.4999446,-20.005568,4
-7.870346,12.708798,9
12.483873,6.510745,5
-11.462665,-2.359951,7
-14.235761,-4.7822905,6
3.3410745,22.849167,1
11.041165,-0.31964532,8
10.68724,-12.91316,8
-14.78882,-11.805576,7
-20.59146,-8.863033,4
15.573108,0.4261452,3
-12.634347,-14.968811,7
-18.875395,-6.149076,6
-15.560794,15.832219,3
10.035772,-4.061606,5
4.15682,-13.035573,7
-1.1463588,-2.682399,4
11.007568,-2.533919,7
18.121397,-6.8739085,7
-20.077118,5.5023456,1
-19.615551,-1.9231908,3
-0.112250164,-18.235262,7
7.554265,-10.557883,2
15.830416,-7.8127537,2
0.40454972,20.907072,2
3.8338282,-10.303538,9
11.864708,19.63611,9
13.581904,-11.488601,7
7.445054,4.585785,6
-4.4574447,3.1260629,6
24.639593,5.6773963,0
8.408538,-12.41207,1
12.5858345,12.397739,1
-11.331581,-0.40381643,4
-22.313143,0.75472987,7
7.9999094,7.754137,2
4.0997744,23.1849,2
-9.234918,-18.351372,4
4.150786,-17.576847,1
8.3599415,17.04057,0
16.818619,3.7537081,2
-2.7069337,19.130835,0
-4.9563527,24.08629,5
-17.014656,-14.321011,7
-8.399604,2.0366232,8
9.1315155,-3.7389026,8
-19.229933,1.4189136,3
-0.036820903,15.2275505,5
-16.853037,12.073863,6
16.494766,-15.537106,5
-6.4112883,-10.98234,6
17.052652,-11.835715,5
-13.184856,7.8519077,8
-3.1861017,12.040217,2
6.4536543,9.703508,2
4.866687,-4.657975,5
6.7715135,2.6918905,5
-9.184046,-10.338446,4
16.751905,10.437127,2
6.9262815,18.87166,0
-8.026058,-14.187208,4
-15.490566,11.965508,6
6.265533,-12.511037,8
3.17577,-3.2289188,4
-8.036834,-8.557328,9
-13.6459465,-19.769218,4
5.1580873,7.3512654,2
-13.776873,5.0031867,0
17.55919,-0.5352265,3
-15.411933,11.700429,9
20.213068,1.027745,7
-10.471882,-5.338158,7
6.499546,-1.9377776,4
1.765812,-11.711422,4
-3.5555754,-7.0456047,8
-13.258476,-15.573331,4
1.3989071,8.030618,6
-3.6537874,-21.476315,8
3.63686,9.198354,5
9.8103895,4.5268626,4
-9.473442,2.5567741,0
-9.213241,5.928122,8
18.390162,-10.174382,7
-5.9760923,14.993095,1
16.853437,9.81249,3
-0.5356017,2.60113,6
-9.003046,17.51908,4
4.44874,7.545616,2
-16.960245,10.003931,9
-10.136541,18.529182,4
12.19701,-18.990623,4
6.009373,-20.146217,1
-1.9199004,11.109431,9
-8.322687,-7.5933228,4
0.98524123,-6.5438337,3
-5.4813037,-14.7095785,6
-6.133843,-15.738731,6
-5.7304206,-4.189524,0
-11.217961,-10.137143,7
21.238846,-4.7589025,2
6.405252,-6.967924,7
14.818456,-3.744518,2
-11.888987,-11.80297,9
